id;eleve;maison;potions;vol;usage;atypique
E01;Harry Potter;Gryffondor;3;47;apprentissage;non
E02;Drago Malefoy;Serpentard;9;29;apprentissage;non
E03;Hermione Granger;Gryffondor;5;53;apprentissage;non
E04;Pansy Parkinson;Serpentard;11;35;apprentissage;non
E05;Ron Weasley;Gryffondor;6;56;apprentissage;non
E06;Blaise Zabini;Serpentard;12;38;apprentissage;non
E07;Neville Londubat;Gryffondor;14;44;apprentissage;oui
E08;Vincent Crabbe;Serpentard;8;62;apprentissage;oui
E09;Ginny Weasley;Gryffondor;9;65;apprentissage;non
E10;Gregory Goyle;Serpentard;15;47;apprentissage;non
E11;Dean Thomas;Gryffondor;11;71;apprentissage;non
E12;Théodore Nott;Serpentard;17;53;apprentissage;non
E13;Seamus Finnigan;Gryffondor;;60;test;non
E14;Daphné Greengrass;Serpentard;16;;test;non
E15;Parvati Patil;Gryffondor;7;50;test;non
E16;Millicent Bulstrode;Serpentard;7;35;test;non
E17;Lavande Brown;Gryffondor;13;65;test;non
E18;Marcus Flint;Serpentard;10;55;test;oui
E19;Colin Crivey;Gryffondor;4;41;test;non
E20;Adrian Pucey;Serpentard;13;55;test;non
