id;eleve;maison;usage;atypique;potions_absente;vol_absent;potions_preparee;vol_prepare;y;x_potions;x_vol;score;probabilite;perte;prediction_tau_050;correct_tau_050;prediction_tau_065;correct_tau_065
E01;Harry Potter;Gryffondor;apprentissage;non;non;non;8;60;1;-0,500000000;0,500000000;1,375495023;0,798266507;0,225312769;1;1;1;1
E02;Drago Malefoy;Serpentard;apprentissage;non;non;non;15;29;0;1,250000000;-1,050000000;-1,222830237;0,227438765;0,258044005;0;1;0;1
E03;Hermione Granger;Gryffondor;apprentissage;oui;non;non;14;28;1;1,000000000;-1,100000000;-0,991180630;0,270678944;1,306821868;0;0;0;0
E04;Pansy Parkinson;Serpentard;apprentissage;non;non;non;12;24;0;0,500000000;-1,300000000;-0,579290786;0,359095800;0,444875287;0;1;0;1
E05;Ron Weasley;Gryffondor;apprentissage;non;oui;non;10;57;1;0,000000000;0,350000000;0,783672387;0,686471057;0,376191215;1;1;1;1
E06;Gregory Goyle;Serpentard;apprentissage;non;non;non;14;9;0;1,000000000;-2,050000000;-1,479569637;0,185492432;0,205171559;0;1;0;1
E07;Neville Londubat;Gryffondor;apprentissage;non;non;non;7;52;1;-0,750000000;0,100000000;1,427211838;0,806466516;0,215092900;1;1;1;1
E08;Ginny Weasley;Gryffondor;apprentissage;non;non;non;6;80;1;-1,000000000;1,500000000;2,404297297;0,917154407;0,086479438;1;1;1;1
E09;Vincent Crabbe;Serpentard;apprentissage;non;non;non;12;30;0;0,500000000;-1,000000000;-0,425062679;0,395305933;0,503032622;0;1;0;1
E10;Seamus Finnigan;Gryffondor;apprentissage;oui;non;non;12;60;1;0,500000000;0,500000000;0,346077858;0,585666148;0,535005366;1;1;0;0
E11;Dean Thomas;Gryffondor;apprentissage;non;non;non;5;67;1;-1,250000000;0,850000000;2,327490689;0,911128359;0,093071493;1;1;1;1
E12;Marcus Flint;Serpentard;apprentissage;oui;non;non;6;65;0;-1,000000000;0,750000000;2,018727029;0,882749317;2,143441046;1;0;1;0
E13;Colin Crivey;Gryffondor;apprentissage;oui;non;non;13;30;1;0,750000000;-1,000000000;-0,682416970;0,335722074;1,091471623;0;0;0;0
E14;Angelina Johnson;Gryffondor;apprentissage;non;non;non;5;84;1;-1,250000000;1,700000000;2,764470326;0,940725396;0,061104003;1;1;1;1
E15;Lavande Brown;Gryffondor;apprentissage;non;non;non;4;71;1;-1,500000000;1,050000000;2,687663719;0,936294772;0,065824925;1;1;1;1
E16;Katie Bell;Gryffondor;apprentissage;non;non;non;9;57;1;-0,250000000;0,350000000;1,041026678;0,739048056;0,302392332;1;1;1;1
E17;Blaise Zabini;Serpentard;apprentissage;non;non;non;17;32;0;1,750000000;-0,900000000;-1,660424766;0,159704985;0,174002241;0;1;0;1
E18;Théodore Nott;Serpentard;apprentissage;non;non;non;16;44;0;1,500000000;-0,300000000;-1,094614260;0,250750379;0,288683079;0;1;0;1
E19;Millicent Bulstrode;Serpentard;apprentissage;oui;non;non;10;64;0;0,000000000;0,700000000;0,963605179;0,723843041;1,286785883;1;0;1;0
E20;Parvati Patil;Gryffondor;apprentissage;non;non;non;5;57;1;-1,250000000;0,350000000;2,070443843;0,887997113;0,118786787;1;1;1;1
E21;Fred Weasley;Gryffondor;test;non;non;non;8;85;1;-0,500000000;1,750000000;2,018112137;0,882685659;0,124786134;1;1;1;1
E22;Olivier Dubois;Gryffondor;test;oui;non;non;11;54;1;0,250000000;0,200000000;0,449204042;0,610449971;0,493558936;1;1;0;0
E23;George Weasley;Gryffondor;test;non;non;oui;6;57;1;-1,000000000;0,350000000;1,813089552;0,859734860;0,151131239;1;1;1;1
E24;Alicia Spinnet;Gryffondor;test;oui;non;non;14;45;1;1,000000000;-0,250000000;-0,554200993;0,364890297;1,008158527;0;0;0;0
E25;Daphné Greengrass;Serpentard;test;oui;non;non;10;41;0;0,000000000;-0,450000000;0,372397434;0,592038156;0,896581628;1;0;0;1
E26;Adrian Pucey;Serpentard;test;non;non;non;14;40;0;1,000000000;-0,500000000;-0,682724416;0,335653513;0,408951447;0;1;0;1
E27;Graham Montague;Serpentard;test;non;non;non;16;13;0;1,500000000;-1,850000000;-1,891459481;0,131078150;0,140502089;0;1;0;1
E28;Terence Higgs;Serpentard;test;non;non;non;17;24;0;1,750000000;-1,300000000;-1,866062243;0,133998012;0,143868074;0;1;0;1
