id;eleve;maison;potions;vol;usage;atypique
E01;Harry Potter;Gryffondor;8;60;apprentissage;non
E02;Drago Malefoy;Serpentard;15;29;apprentissage;non
E03;Hermione Granger;Gryffondor;14;28;apprentissage;oui
E04;Pansy Parkinson;Serpentard;12;24;apprentissage;non
E05;Ron Weasley;Gryffondor;;57;apprentissage;non
E06;Gregory Goyle;Serpentard;14;9;apprentissage;non
E07;Neville Londubat;Gryffondor;7;52;apprentissage;non
E08;Ginny Weasley;Gryffondor;6;80;apprentissage;non
E09;Vincent Crabbe;Serpentard;12;30;apprentissage;non
E10;Seamus Finnigan;Gryffondor;12;60;apprentissage;oui
E11;Dean Thomas;Gryffondor;5;67;apprentissage;non
E12;Marcus Flint;Serpentard;6;65;apprentissage;oui
E13;Colin Crivey;Gryffondor;13;30;apprentissage;oui
E14;Angelina Johnson;Gryffondor;5;84;apprentissage;non
E15;Lavande Brown;Gryffondor;4;71;apprentissage;non
E16;Katie Bell;Gryffondor;9;57;apprentissage;non
E17;Blaise Zabini;Serpentard;17;32;apprentissage;non
E18;Théodore Nott;Serpentard;16;44;apprentissage;non
E19;Millicent Bulstrode;Serpentard;10;64;apprentissage;oui
E20;Parvati Patil;Gryffondor;5;57;apprentissage;non
E21;Fred Weasley;Gryffondor;8;85;test;non
E22;Olivier Dubois;Gryffondor;11;54;test;oui
E23;George Weasley;Gryffondor;6;;test;non
E24;Alicia Spinnet;Gryffondor;14;45;test;oui
E25;Daphné Greengrass;Serpentard;10;41;test;oui
E26;Adrian Pucey;Serpentard;14;40;test;non
E27;Graham Montague;Serpentard;16;13;test;non
E28;Terence Higgs;Serpentard;17;24;test;non
